Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A,Season,HomeElo,AwayElo,EloDiff,Result,HomeGoalsLast5,HomeConcededLast5,HomeWinsLast5,HomeFormPoints,AwayGoalsLast5,AwayConcededLast5,AwayWinsLast5,AwayFormPoints,FormPointsDiff
2020-09-12,Fulham,Arsenal,0,3,A,0,1,A,5,13,2,6,2,3,12,12,2,2,0,0,6.0,4.33,1.53,2020-21,1579.14025879,1799.52392578,-220.38366698999994,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-12,Crystal Palace,Southampton,1,0,H,1,0,H,5,9,3,5,7,3,14,11,2,1,0,0,3.1,3.25,2.37,2020-21,1673.68884277,1720.21118164,-46.522338869999885,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-12,Liverpool,Leeds,4,3,H,3,2,H,22,6,6,3,9,0,9,6,1,0,0,0,1.28,6.0,9.5,2020-21,1991.63098145,1630.20825195,361.42272950000006,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-12,West Ham,Newcastle,0,2,A,0,0,D,15,15,3,2,8,7,13,7,2,2,0,0,2.15,3.4,3.4,2020-21,1685.76428223,1677.56347656,8.200805669999909,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-13,West Brom,Leicester,0,3,A,0,0,D,7,13,1,7,2,5,12,9,1,1,0,0,3.8,3.6,1.95,2020-21,1579.29553223,1757.98510742,-178.68957519000014,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-13,Tottenham,Everton,0,1,A,0,0,D,9,15,5,4,5,3,15,7,1,0,0,0,1.83,3.6,4.33,2020-21,1807.71264648,1715.9395752,91.77307128000007,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-14,Brighton,Chelsea,1,3,A,0,1,A,13,10,3,5,4,3,8,13,1,0,0,0,5.0,4.33,1.61,2020-21,1653.63110352,1818.56286621,-164.93176269000014,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-14,Sheffield United,Wolves,0,2,A,0,2,A,9,11,2,4,12,5,13,7,2,1,0,0,3.25,3.1,2.37,2020-21,1693.6763916,1778.44799805,-84.77160645000004,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-19,Everton,West Brom,5,2,H,2,1,H,17,6,7,4,11,1,9,11,1,0,0,1,1.5,4.2,6.5,2020-21,1727.68505859,1585.65991211,142.02514647999988,0,1.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,3.0
2020-09-19,Leeds,Fulham,4,3,H,2,1,H,10,14,7,6,5,3,13,18,1,2,0,0,1.61,3.9,5.75,2020-21,1623.89941406,1584.77734375,39.122070310000026,0,3.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-09-19,Man United,Crystal Palace,1,3,A,0,1,A,13,14,4,5,9,3,13,10,2,1,0,0,1.3,5.5,9.5,2020-21,1861.09973145,1682.27844238,178.82128907000015,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0
2020-09-19,Arsenal,West Ham,2,1,H,1,1,D,7,14,3,3,7,5,11,13,0,1,0,0,1.53,4.5,5.5,2020-21,1807.03344727,1672.734375,134.2990722699999,0,3.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,3.0
2020-09-20,Newcastle,Brighton,0,3,A,0,2,A,6,13,0,6,7,1,16,15,3,0,0,1,2.6,3.1,2.87,2020-21,1691.3338623,1647.08032227,44.25354003000007,2,2.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,3.0
2020-09-20,Southampton,Tottenham,2,5,A,1,1,D,14,9,7,6,3,2,16,18,4,3,0,0,3.0,3.3,2.37,2020-21,1712.36206055,1797.82580566,-85.46374510999999,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-09-20,Leicester,Burnley,4,2,H,1,1,D,14,16,6,5,15,4,11,13,1,2,0,0,1.61,4.0,5.5,2020-21,1766.85632324,1723.07312012,43.783203119999826,0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
2020-09-20,Chelsea,Liverpool,0,2,A,0,0,D,5,18,3,6,1,11,10,6,0,0,1,0,3.1,3.6,2.2,2020-21,1825.85424805,1993.09631348,-167.2420654299999,2,3.0,1.0,1.0,3.0,4.0,3.0,1.0,3.0,0.0
2020-09-21,Aston Villa,Sheffield United,1,0,H,0,0,D,18,4,2,1,10,4,12,13,3,1,0,1,2.7,3.1,2.75,2020-21,1618.62438965,1684.03930664,-65.41491698999994,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-09-21,Wolves,Man City,1,3,A,0,2,A,10,14,1,9,4,6,6,8,0,3,0,0,6.5,4.33,1.5,2020-21,1788.82556152,1968.14929199,-179.32373046999987,2,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
2020-09-26,Brighton,Man United,2,3,A,1,1,D,18,7,5,3,7,1,18,16,4,2,0,0,4.75,3.75,1.72,2020-21,1665.40490723,1842.53186035,-177.12695312000005,2,4.0,3.0,1.0,3.0,1.0,3.0,0.0,0.0,3.0
2020-09-26,Crystal Palace,Everton,1,2,A,1,2,A,8,10,1,5,7,6,16,15,3,1,0,0,3.75,3.25,2.1,2020-21,1701.51806641,1734.72106934,-33.20300292999991,2,4.0,1.0,2.0,6.0,6.0,2.0,2.0,6.0,0.0
2020-09-26,West Brom,Chelsea,3,3,D,3,0,H,9,22,3,10,3,9,8,16,1,3,0,0,9.0,4.75,1.36,2020-21,1579.29553223,1819.50024414,-240.20471191000001,1,2.0,8.0,0.0,0.0,3.0,3.0,1.0,3.0,-3.0
2020-09-26,Burnley,Southampton,0,1,A,0,1,A,10,5,2,1,8,2,8,10,1,0,0,0,3.2,3.3,2.3,2020-21,1715.0760498,1700.82922363,14.246826170000077,2,2.0,4.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0
2020-09-27,Sheffield United,Leeds,0,1,A,0,0,D,14,17,4,9,5,7,18,4,2,1,0,0,2.7,3.3,2.62,2020-21,1675.4967041,1630.20825195,45.28845215000001,2,0.0,3.0,0.0,0.0,7.0,7.0,1.0,3.0,-3.0
2020-09-27,Tottenham,Newcastle,1,1,D,1,0,H,23,6,12,1,10,4,15,9,1,4,0,0,1.45,4.5,7.0,2020-21,1811.04370117,1673.68103027,137.3626709,1,5.0,3.0,1.0,3.0,2.0,3.0,1.0,3.0,0.0
2020-09-27,Man City,Leicester,2,5,A,1,1,D,16,7,5,7,3,4,13,8,1,3,0,0,1.28,6.0,9.5,2020-21,1974.95031738,1775.52526855,199.42504882999992,2,3.0,1.0,1.0,3.0,7.0,2.0,2.0,6.0,-3.0
2020-09-27,West Ham,Wolves,4,0,H,1,0,H,15,11,7,2,1,3,7,11,0,1,0,0,3.6,3.5,2.05,2020-21,1669.17089844,1782.69641113,-113.52551268999991,0,1.0,4.0,0.0,0.0,3.0,3.0,1.0,3.0,-3.0
2020-09-28,Fulham,Aston Villa,0,3,A,0,2,A,16,12,3,5,5,3,18,14,6,3,0,0,2.9,3.25,2.5,2020-21,1579.14025879,1627.83874512,-48.69848633000015,2,3.0,7.0,0.0,0.0,1.0,0.0,1.0,3.0,-3.0
2020-09-28,Liverpool,Arsenal,3,1,H,2,1,H,21,4,8,3,7,3,11,7,2,2,0,0,1.45,4.75,6.5,2020-21,2000.12207031,1811.26867676,188.85339354999996,0,6.0,3.0,2.0,6.0,5.0,1.0,2.0,6.0,0.0
2020-10-03,Everton,Brighton,4,2,H,2,1,H,11,11,6,3,3,10,13,14,0,1,0,0,1.72,3.75,4.8,2020-21,1743.82592773,1661.48156738,82.34436035000022,0,8.0,3.0,3.0,9.0,6.0,6.0,1.0,3.0,6.0
2020-10-03,Chelsea,Crystal Palace,4,0,H,0,0,D,17,4,6,0,8,5,17,13,2,0,0,0,1.4,4.75,8.0,2020-21,1815.06933594,1694.03198242,121.0373535199999,0,6.0,6.0,1.0,4.0,5.0,3.0,2.0,6.0,-2.0
2020-10-03,Newcastle,Burnley,3,1,H,1,0,H,10,7,5,3,3,4,13,17,2,3,0,0,2.4,3.2,3.1,2020-21,1679.04284668,1706.42272949,-27.379882810000026,0,3.0,4.0,1.0,4.0,2.0,5.0,0.0,0.0,4.0
2020-10-03,Leeds,Man City,1,1,D,0,1,A,12,23,7,2,7,10,11,12,2,1,0,0,7.5,5.25,1.36,2020-21,1641.18554688,1952.78857422,-311.60302734000015,1,8.0,7.0,2.0,6.0,5.0,6.0,1.0,3.0,3.0
2020-10-04,Leicester,West Ham,0,3,A,0,2,A,4,14,0,6,6,4,11,8,2,2,0,0,1.61,4.2,5.25,2020-21,1799.30566406,1690.32470703,108.98095703000013,2,12.0,4.0,3.0,9.0,5.0,4.0,1.0,3.0,6.0
2020-10-04,Southampton,West Brom,2,0,H,1,0,H,13,5,7,2,5,1,19,10,2,1,0,0,1.72,3.8,4.75,2020-21,1711.10119629,1585.34521484,125.75598145000004,0,3.0,6.0,1.0,3.0,5.0,11.0,0.0,1.0,2.0
2020-10-04,Arsenal,Sheffield United,2,1,H,0,0,D,6,6,5,2,2,4,3,9,0,1,0,0,1.57,4.0,6.0,2020-21,1807.7097168,1666.13818359,141.5715332100001,0,6.0,4.0,2.0,6.0,0.0,4.0,0.0,0.0,6.0
2020-10-04,Wolves,Fulham,1,0,H,0,0,D,14,10,5,2,6,2,15,8,1,1,0,0,1.5,4.0,7.5,2020-21,1763.16113281,1566.82507324,196.3360595700001,0,3.0,7.0,1.0,3.0,3.0,10.0,0.0,0.0,3.0
2020-10-04,Man United,Tottenham,1,6,A,1,4,A,5,22,2,8,2,4,14,10,2,1,1,0,1.85,3.8,4.0,2020-21,1848.07385254,1809.74047852,38.333374020000065,2,4.0,5.0,1.0,3.0,6.0,4.0,1.0,4.0,-1.0
2020-10-04,Aston Villa,Liverpool,7,2,H,4,1,H,18,14,11,8,2,7,7,10,2,1,0,0,10.0,5.5,1.3,2020-21,1641.77258301,2005.29968262,-363.52709961000005,0,4.0,0.0,2.0,6.0,9.0,4.0,3.0,9.0,-3.0
2020-10-17,Everton,Liverpool,2,2,D,1,1,D,11,22,5,8,2,5,15,9,3,2,1,0,3.75,4.2,1.83,2020-21,1751.31311035,1970.78283691,-219.46972656000003,1,12.0,5.0,4.0,12.0,11.0,11.0,3.0,9.0,3.0
2020-10-17,Chelsea,Southampton,3,3,D,2,1,H,11,13,5,6,6,2,11,9,1,1,0,0,1.45,4.75,6.5,2020-21,1823.93395996,1717.05957031,106.87438965000001,1,10.0,6.0,2.0,7.0,5.0,6.0,2.0,6.0,1.0
