Date,Team,Opponent,HomeAway,Tournament,GoalsFor,GoalsAgainst,Stage,Leg,Status,TournamentWeight
2024-09-19,Arsenal,Atalanta,A,CL,0.0,0.0,GroupStage,,Active,3
2024-09-25,Arsenal,Bolton,H,EFL,5.0,1.0,ThirdRound,,Active,1
2024-10-10,Arsenal,PSG,H,CL,2.0,0.0,GroupStage,,Active,3
2024-10-22,Arsenal,Shakhtar,H,CL,1.0,0.0,GroupStage,,Active,3
2024-10-30,Arsenal,Preston,A,EFL,3.0,0.0,FourthRound,,Active,1
2024-11-06,Arsenal,Inter,A,CL,0.0,1.0,GroupStage,,Active,3
2024-11-12,Arsenal,Monaco,H,CL,3.0,0.0,GroupStage,,Active,3
2024-11-26,Arsenal,Sporting,A,CL,5.0,1.0,GroupStage,,Active,3
2024-12-18,Arsenal,Crystal Palace,H,EFL,3.0,2.0,QuarterFinal,,Active,1
2025-01-01,Arsenal,Man United,H,FA,1.0,1.0,ThirdRound,,Eliminated,1
2025-01-07,Arsenal,Newcastle,H,EFL,0.0,2.0,SemiFinal,Leg1,Active,1
2025-01-22,Arsenal,Dinamo Zagreb,H,CL,3.0,0.0,GroupStage,,Active,3
2025-01-29,Arsenal,Girona,H,CL,2.0,1.0,GroupStage,,Active,3
2025-02-05,Arsenal,Newcastle,A,EFL,0.0,2.0,SemiFinal,Leg2,Eliminated,1
2025-03-04,Arsenal,PSV,A,CL,7.0,1.0,RoundOf16,Leg1,Active,3
2025-03-12,Arsenal,PSV,H,CL,2.0,2.0,RoundOf16,Leg2,Active,3
2025-04-08,Arsenal,Real Madrid,H,CL,3.0,0.0,QuarterFinal,Leg1,Active,3
2025-04-16,Arsenal,Real Madrid,A,CL,2.0,1.0,QuarterFinal,Leg2,Active,3
2025-04-29,Arsenal,PSG,H,CL,0.0,1.0,SemiFinal,Leg1,Active,3
2025-05-07,Arsenal,PSG,A,CL,1.0,2.0,SemiFinal,Leg2,Eliminated,3
2024-09-17,Aston Villa,Young Boys,A,CL,3.0,0.0,GroupStage,,Active,3
2024-09-24,Aston Villa,Wycombe,A,EFL,2.0,1.0,ThirdRound,,Active,1
2024-10-02,Aston Villa,Bayern Munich,H,CL,1.0,0.0,GroupStage,,Active,3
2024-10-22,Aston Villa,Bologna,H,CL,2.0,0.0,GroupStage,,Active,3
2024-10-30,Aston Villa,Crystal Palace,H,EFL,1.0,2.0,FourthRound,,Eliminated,1
2024-11-06,Aston Villa,Club Brugge,A,CL,0.0,1.0,GroupStage,,Active,3
2024-11-27,Aston Villa,Juventus,H,CL,0.0,0.0,GroupStage,,Active,3
2024-12-10,Aston Villa,Leipzig,A,CL,3.0,2.0,GroupStage,,Active,3
